outcode,county
AL10,HERTFORDSHIRE
AL11,HERTFORDSHIRE
AL12,HERTFORDSHIRE
AL13,HERTFORDSHIRE
AL14,HERTFORDSHIRE
AL15,HERTFORDSHIRE
AL21,HERTFORDSHIRE
AL22,HERTFORDSHIRE
AL23,HERTFORDSHIRE
AL34,HERTFORDSHIRE
AL35,HERTFORDSHIRE
AL36,HERTFORDSHIRE
AL37,HERTFORDSHIRE
AL38,BEDFORDSHIRE
AL38,CENTRAL BEDFORDSHIRE
AL38,HERTFORDSHIRE
AL40,HERTFORDSHIRE
AL48,HERTFORDSHIRE
AL49,HERTFORDSHIRE
AL51,HERTFORDSHIRE
AL52,HERTFORDSHIRE
AL53,BEDFORDSHIRE
AL53,CENTRAL BEDFORDSHIRE
AL53,HERTFORDSHIRE
AL54,HERTFORDSHIRE
AL55,HERTFORDSHIRE
AL60,HERTFORDSHIRE
AL69,HERTFORDSHIRE
AL71,HERTFORDSHIRE
AL72,HERTFORDSHIRE
AL73,HERTFORDSHIRE
AL74,HERTFORDSHIRE
AL86,HERTFORDSHIRE
AL87,HERTFORDSHIRE
AL95,HERTFORDSHIRE
AL96,HERTFORDSHIRE
AL97,HERTFORDSHIRE
B10,WEST MIDLANDS
B11,WEST MIDLANDS
B12,WEST MIDLANDS
B13,WEST MIDLANDS
B14,WEST MIDLANDS
B14,WORCESTERSHIRE
B15,WEST MIDLANDS
B16,WEST MIDLANDS
B17,WEST MIDLANDS
B18,WEST MIDLANDS
B19,WEST MIDLANDS
B20,WEST MIDLANDS
B21,WEST MIDLANDS
B23,WEST MIDLANDS
B24,WEST MIDLANDS
B25,WEST MIDLANDS
B26,WEST MIDLANDS
B26,WORCESTERSHIRE
B27,WEST MIDLANDS
B28,WEST MIDLANDS
B29,WARWICKSHIRE
B29,WEST MIDLANDS
B30,WEST MIDLANDS
B31,SOUTH GLOUCESTERSHIRE
B31,WEST MIDLANDS
B31,WORCESTERSHIRE
B32,WEST MIDLANDS
B32,WORCESTERSHIRE
B33,WEST MIDLANDS
B34,WEST MIDLANDS
B35,WEST MIDLANDS
B36,WEST MIDLANDS
B37,WEST MIDLANDS
B38,WEST MIDLANDS
B38,WORCESTERSHIRE
B40,WEST MIDLANDS
