from,to
AVEN,AVENUE
aven,AVENUE
Aven,AVENUE
AVE,AVENUE
ave,AVENUE
Ave,AVENUE
AV,AVENUE
av,AVENUE
Av,AVENUE
LN,LANE
ln,LANE
Ln,LANE
APPTS,APARTMENTS
appts,APARTMENTS
Appts,APARTMENTS
APTS,APARTMENTS
apts,APARTMENTS
Apts,APARTMENTS
APPT,APARTMENT
appt,APARTMENT
Appt,APARTMENT
APT,APARTMENT
apt,APARTMENT
Apt,APARTMENT
BLK,BLOCK
blk,BLOCK
Blk,BLOCK
BVLD,BOULEVARD
bvld,BOULEVARD
Bvld,BOULEVARD
DR,DRIVE
dr,DRIVE
Dr,DRIVE
RD,ROAD
rd,ROAD
Rd,ROAD
PK,PARK
pk,PARK
Pk,PARK
STR,STREET
str,STREET
Str,STREET
NOS,NUMBERS
nos,NUMBERS
Nos,NUMBERS
NO,NUMBER
no,NUMBER
No,NUMBER
HSE,HOUSE
hse,HOUSE
Hse,HOUSE
BERKS,BERKSHIRE
berks,BERKSHIRE
Berks,BERKSHIRE
WARKS,WARWICKSHIRE
warks,WARWICKSHIRE
Warks,WARWICKSHIRE
BUCKS,BUCKINGHAMSHIRE
bucks,BUCKINGHAMSHIRE
Bucks,BUCKINGHAMSHIRE
HANTS,HAMPSHIRE
hants,HAMPSHIRE
Hants,HAMPSHIRE
LEICS,LEICESTERSHIRE
leics,LEICESTERSHIRE
Leics,LEICESTERSHIRE
LINCS,LINCOLNSHIRE
lincs,LINCOLNSHIRE
Lincs,LINCOLNSHIRE
LANCS,LANCASHIRE
lancs,LANCASHIRE
Lancs,LANCASHIRE
MIDDX,MIDDLESEX
middx,MIDDLESEX
Middx,MIDDLESEX
STAFFS,STAFFORDSHIRE
staffs,STAFFORDSHIRE
Staffs,STAFFORDSHIRE
WORCS,WORCESTERSHIRE
worcs,WORCESTERSHIRE
Worcs,WORCESTERSHIRE
WILTS,WILTSHIRE
wilts,WILTSHIRE
Wilts,WILTSHIRE
HERTS,HERTFORDSHIRE
herts,HERTFORDSHIRE
Herts,HERTFORDSHIRE
CAMBS,CAMBRIDGESHIRE
cambs,CAMBRIDGESHIRE
Cambs,CAMBRIDGESHIRE
OXON,OXFORDSHIRE
oxon,OXFORDSHIRE
Oxon,OXFORDSHIRE
HFDS,HERTFORDSHIRE
hfds,HERTFORDSHIRE
Hfds,HERTFORDSHIRE
BEDS,BEDFORDSHIRE
beds,BEDFORDSHIRE
Beds,BEDFORDSHIRE
GLOS,GLOUCESTERSHIRE
glos,GLOUCESTERSHIRE
Glos,GLOUCESTERSHIRE
NORTHANTS,NORTHAMPTONSHIRE
northants,NORTHAMPTONSHIRE
Northants,NORTHAMPTONSHIRE
STOKEONTRENT,STOKE-ON-TRENT
stokeontrent,STOKE-ON-TRENT
Stokeontrent,STOKE-ON-TRENT
SOUTHENDONSEA,SOUTHEND-ON-SEA
southendonsea,SOUTHEND-ON-SEA
Southendonsea,SOUTHEND-ON-SEA
WESTCLIFFONSEA,WESTCLIFF-ON-SEA
westcliffonsea,WESTCLIFF-ON-SEA
Westcliffonsea,WESTCLIFF-ON-SEA
ST,STREET
st,STREET
St,STREET
ST.,STREET
st.,STREET
St.,STREET
STR.,STREET
str.,STREET
Str.,STREET
RD.,ROAD
rd.,ROAD
Rd.,ROAD
AVE.,AVENUE
ave.,AVENUE
Ave.,AVENUE
AV.,AVENUE
av.,AVENUE
Av.,AVENUE
BLVD,BOULEVARD
blvd,BOULEVARD
Blvd,BOULEVARD
BLVD.,BOULEVARD
blvd.,BOULEVARD
Blvd.,BOULEVARD
BVD,BOULEVARD
bvd,BOULEVARD
Bvd,BOULEVARD
HWY,HIGHWAY
hwy,HIGHWAY
Hwy,HIGHWAY
HWY.,HIGHWAY
hwy.,HIGHWAY
Hwy.,HIGHWAY
HY,HIGHWAY
hy,HIGHWAY
Hy,HIGHWAY
HY.,HIGHWAY
hy.,HIGHWAY
Hy.,HIGHWAY
M/WAY,MOTORWAY
m/way,MOTORWAY
M/Way,MOTORWAY
MWAY,MOTORWAY
mway,MOTORWAY
Mway,MOTORWAY
M-WAY,MOTORWAY
m-way,MOTORWAY
M-Way,MOTORWAY
MOTORWY,MOTORWAY
motorwy,MOTORWAY
Motorwy,MOTORWAY
A-RD,A ROAD
a-rd,A ROAD
A-Rd,A ROAD
ARd,A ROAD
ard,A ROAD
Ard,A ROAD
B-RD,B ROAD
b-rd,B ROAD
B-Rd,B ROAD
BROD,B ROAD
brod,B ROAD
Brod,B ROAD
TRNPK,TURNPIKE
trnpk,TURNPIKE
Trnpk,TURNPIKE
TPKE,TURNPIKE
tpke,TURNPIKE
Tpke,TURNPIKE
DR.,DRIVE
dr.,DRIVE
Dr.,DRIVE
DRV,DRIVE
drv,DRIVE
Drv,DRIVE
DRIV,DRIVE
driv,DRIVE
Driv,DRIVE
LN.,LANE
ln.,LANE
Ln.,LANE
LA,LANE
la,LANE
La,LANE
LA.,LANE
la.,LANE
La.,LANE
PL,PLACE
pl,PLACE
Pl,PLACE
PL.,PLACE
pl.,PLACE
Pl.,PLACE
PLAZA,PLAZA
plaza,PLAZA
Plaza,PLAZA
PLZ,PLAZA
plz,PLAZA
Plz,PLAZA
WY,WAY
wy,WAY
Wy,WAY
WAY,WAY
way,WAY
Way,WAY
WALK,WALK
walk,WALK
Walk,WALK
WKWY,WALKWAY
wkwy,WALKWAY
Wkwy,WALKWAY
WKW,WALKWAY
wkw,WALKWAY
Wkw,WALKWAY
CL,CLOSE
cl,CLOSE
Cl,CLOSE
CLS,CLOSE
cls,CLOSE
Cls,CLOSE
CLOSE,CLOSE
close,CLOSE
Close,CLOSE
CTR,CENTRE
ctr,CENTRE
Ctr,CENTRE
CNTR,CENTRE
cntr,CENTRE
Cntr,CENTRE
CTRE,CENTRE
ctre,CENTRE
Ctre,CENTRE
CT,COURT
ct,COURT
Ct,COURT
CT.,COURT
ct.,COURT
Ct.,COURT
CRES,CRESCENT
cres,CRESCENT
Cres,CRESCENT
CR,CRESCENT
cr,CRESCENT
Cr,CRESCENT
CRESC,CRESCENT
cresc,CRESCENT
Cresc,CRESCENT
CRSNT,CRESCENT
crsnt,CRESCENT
Crsnt,CRESCENT
GDNS,GARDENS
gdns,GARDENS
Gdns,GARDENS
GDN,GARDEN
gdn,GARDEN
Gdn,GARDEN
GRN,GREEN
grn,GREEN
Grn,GREEN
GR,GROVE
gr,GROVE
Gr,GROVE
GRV,GROVE
grv,GROVE
Grv,GROVE
GRO,GROVE
gro,GROVE
Gro,GROVE
GRVE,GROVE
grve,GROVE
Grve,GROVE
HL,HILL
hl,HILL
Hl,HILL
HILL,HILL
hill,HILL
Hill,HILL
HORT,HORTON
hort,HORTON
Hort,HORTON
MEWS,MEWS
mews,MEWS
Mews,MEWS
MWS,MEWS
mws,MEWS
Mws,MEWS
PKWY,PARKWAY
pkwy,PARKWAY
Pkwy,PARKWAY
PKWY.,PARKWAY
pkwy.,PARKWAY
Pkwy.,PARKWAY
PKY,PARKWAY
pky,PARKWAY
Pky,PARKWAY
